# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   55       2.048742370892e-10       2.152000691582e-14      -6.747349600282e-14       0.000000000000e+00       4.310264228933e-11       4.776507976245e-12      -9.017815436023e-15 
   56       2.077192807850e-10       2.275465760954e-14      -1.015084431354e-13       0.000000000000e+00       4.139774540277e-11       4.603886319711e-12      -9.351552869702e-15 
   57       2.105953444884e-10       2.402845807958e-14      -1.373783367212e-13       0.000000000000e+00       3.978386760062e-11       4.440542271948e-12      -9.742240284999e-15 
   58       2.135023158187e-10       2.534147021355e-14      -1.750819783619e-13       0.000000000000e+00       3.825734663015e-11       4.286146382596e-12      -1.015495572829e-14 
   59       2.164387899388e-10       2.669372472274e-14      -2.146148763269e-13       0.000000000000e+00       3.681163195117e-11       4.140076931532e-12      -1.054940706072e-14 
   60       2.194019798908e-10       2.808522091573e-14      -2.559691774752e-13       0.000000000000e+00       3.543711670765e-11       4.001402790088e-12      -1.087969661344e-14 
   61       2.223889958513e-10       2.951582435572e-14      -2.991345752336e-13       0.000000000000e+00       3.412380685016e-11       3.869140029419e-12      -1.110483854751e-14 
   62       2.254012212891e-10       3.098493350046e-14      -3.441014257060e-13       0.000000000000e+00       3.287040873064e-11       3.743127825694e-12      -1.122360200499e-14 
   63       2.284407644424e-10       3.249173749388e-14      -3.908582133850e-13       0.000000000000e+00       3.167699242967e-11       3.623319642905e-12      -1.124710684640e-14 
   64       2.315091307623e-10       3.403530828191e-14      -4.393906004405e-13       0.000000000000e+00       3.054225813953e-11       3.509518549068e-12      -1.118886481309e-14 
   65       2.346071766842e-10       3.561459714605e-14      -4.896813896107e-13       0.000000000000e+00       2.946345815653e-11       3.401368763236e-12      -1.106488535757e-14 
   66       2.377350633969e-10       3.722843123698e-14      -5.417104870929e-13       0.000000000000e+00       2.843631887326e-11       3.298347202503e-12      -1.089378147392e-14 
   67       2.408922106141e-10       3.887551010810e-14      -5.954548654348e-13       0.000000000000e+00       2.745496277092e-11       3.199755029012e-12      -1.069687552822e-14 
   68       2.440778926115e-10       4.055454191000e-14      -6.508901663406e-13       0.000000000000e+00       2.651347883260e-11       3.104901045950e-12      -1.049412693358e-14 
   69       2.472932699217e-10       4.226469176791e-14      -7.079959691714e-13       0.000000000000e+00       2.561117766251e-11       3.013713932440e-12      -1.029072041934e-14 
   70       2.505396881569e-10       4.400521844749e-14      -7.667515282225e-13       0.000000000000e+00       2.474826594829e-11       2.926239448220e-12      -1.008793782423e-14 
   71       2.538180428975e-10       4.577534283630e-14      -8.271342320085e-13       0.000000000000e+00       2.392425704940e-11       2.842456078198e-12      -9.887094792982e-15 
   72       2.571287498883e-10       4.757424804919e-14      -8.891196080964e-13       0.000000000000e+00       2.313793514849e-11       2.762271486079e-12      -9.689539748517e-15 
   73       2.604717152360e-10       4.940107953382e-14      -9.526813279374e-13       0.000000000000e+00       2.238731940278e-11       2.685518967999e-12      -9.496652864143e-15 
   74       2.638463056050e-10       5.125494517612e-14      -1.017791211700e-12       0.000000000000e+00       2.166962809547e-11       2.611953906158e-12      -9.309845035760e-15 
   75       2.672513184147e-10       5.313491540579e-14      -1.084419233103e-12       0.000000000000e+00       2.098124278712e-11       2.541250222448e-12      -9.130556854069e-15 
   76       2.706855738452e-10       5.503996401098e-14      -1.152533154790e-12       0.000000000000e+00       2.031860682398e-11       2.473083638364e-12      -8.960160131941e-15 
   77       2.741498813703e-10       5.696877788925e-14      -1.222097347022e-12       0.000000000000e+00       1.968118926685e-11       2.407406822457e-12      -8.799644027441e-15 
   78       2.776453793509e-10       5.891991263428e-14      -1.293073761345e-12       0.000000000000e+00       1.906899883038e-11       2.344218207421e-12      -8.649869550604e-15 
   79       2.811729282620e-10       6.089184765644e-14      -1.365422278241e-12       0.000000000000e+00       1.848168105592e-11       2.283477897233e-12      -8.511658953508e-15 
   80       2.847330936406e-10       6.288298507252e-14      -1.439100704379e-12       0.000000000000e+00       1.791850162274e-11       2.225105900816e-12      -8.385792704300e-15 
   81       2.883261290322e-10       6.489164859536e-14      -1.514064769877e-12       0.000000000000e+00       1.737832965909e-11       2.168980365707e-12      -8.273006461203e-15 
   82       2.919519589390e-10       6.691608242353e-14      -1.590268125553e-12       0.000000000000e+00       1.685962105337e-11       2.114935811715e-12      -8.173988046544e-15 
   83       2.956101617670e-10       6.895445013099e-14      -1.667662340187e-12       0.000000000000e+00       1.636040176527e-11       2.062761364594e-12      -8.089374420763e-15 
   84       2.993002509517e-10       7.100490200096e-14      -1.746197433435e-12       0.000000000000e+00       1.587874772090e-11       2.012253217150e-12      -8.019391054093e-15 
   85       3.030226092359e-10       7.306579228496e-14      -1.825823582107e-12       0.000000000000e+00       1.541435246341e-11       1.963385874282e-12      -7.962707978812e-15 
   86       3.067776787307e-10       7.513549609242e-14      -1.906489693042e-12       0.000000000000e+00       1.496718999571e-11       1.916166190251e-12      -7.917387664957e-15 
   87       3.105656646440e-10       7.721234418825e-14      -1.988142898758e-12       0.000000000000e+00       1.453703308322e-11       1.870580822968e-12      -7.881216858380e-15 
   88       3.143865232392e-10       7.929462303282e-14      -2.070728563718e-12       0.000000000000e+00       1.412344491086e-11       1.826595379049e-12      -7.851697544648e-15 
   89       3.182399497944e-10       8.138057482195e-14      -2.154190290582e-12       0.000000000000e+00       1.372577074018e-11       1.784153558861e-12      -7.826037912930e-15 
   90       3.221253665606e-10       8.346839752691e-14      -2.238469926473e-12       0.000000000000e+00       1.334312956644e-11       1.743176301572e-12      -7.801143319899e-15 
   91       3.260419107211e-10       8.555624493439e-14      -2.323507569232e-12       0.000000000000e+00       1.297440577571e-11       1.703560930208e-12      -7.773607253617e-15 
   92       3.299884223497e-10       8.764222668652e-14      -2.409241573676e-12       0.000000000000e+00       1.261824080194e-11       1.665180296696e-12      -7.739702297437e-15 
   93       3.339637972260e-10       8.972443629033e-14      -2.495609392409e-12       0.000000000000e+00       1.227335553148e-11       1.627914801379e-12      -7.696235408628e-15 
   94       3.379681321328e-10       9.180103987824e-14      -2.582550229285e-12       0.000000000000e+00       1.193959110533e-11       1.591755817283e-12      -7.643280525779e-15 
   95       3.420017303502e-10       9.387020093320e-14      -2.670002798454e-12       0.000000000000e+00       1.161700995679e-11       1.556716312528e-12      -7.581842151220e-15 
   96       3.460647452084e-10       9.593005392693e-14      -2.757904542850e-12       0.000000000000e+00       1.130557525991e-11       1.522798963571e-12      -7.513030446103e-15 
   97       3.501571730551e-10       9.797870474384e-14      -2.846191651911e-12       0.000000000000e+00       1.100514712670e-11       1.489995751520e-12      -7.438064058601e-15 
   98       3.542788462226e-10       1.000142311050e-13      -2.934799079289e-12       0.000000000000e+00       1.071547880431e-11       1.458287558445e-12      -7.358272952110e-15 
   99       3.584294259947e-10       1.020346829918e-13      -3.023660560567e-12       0.000000000000e+00       1.043621287228e-11       1.427643763692e-12      -7.275101233445e-15 
  100       3.626083955742e-10       1.040380830705e-13      -3.112708630975e-12       0.000000000000e+00       1.016687743969e-11       1.398021840194e-12      -7.190109981047e-15 
  101       3.668150530494e-10       1.060224271153e-13      -3.201874643103e-12       0.000000000000e+00       9.906882342399e-12       1.369366950785e-12      -7.104980073181e-15 
  102       3.710485043620e-10       1.079856844330e-13      -3.291088784615e-12       0.000000000000e+00       9.655515340219e-12       1.341611544514e-12      -7.021515016135e-15 
  103       3.753076562732e-10       1.099257982865e-13      -3.380280095969e-12       0.000000000000e+00       9.411938314143e-12       1.314674952953e-12      -6.941643772421e-15 
  104       3.795914467382e-10       1.118407373160e-13      -3.469377048007e-12       0.000000000000e+00       9.175377288052e-12       1.288481850518e-12      -6.867006924201e-15 
  105       3.838995866155e-10       1.137286568000e-13      -3.558309325452e-12       0.000000000000e+00       8.945729918623e-12       1.263021344940e-12      -6.797645404868e-15 
  106       3.882319055066e-10       1.155877600701e-13      -3.647006318484e-12       0.000000000000e+00       8.723033360978e-12       1.238295153624e-12      -6.733139082182e-15 
  107       3.925881189260e-10       1.174162504314e-13      -3.735396607953e-12       0.000000000000e+00       8.507276119606e-12       1.214299258429e-12      -6.673005875881e-15 
  108       3.969678238771e-10       1.192123321471e-13      -3.823407989249e-12       0.000000000000e+00       8.298396375503e-12       1.191023709281e-12      -6.616700007148e-15 
  109       4.013704944284e-10       1.209742114225e-13      -3.910967496165e-12       0.000000000000e+00       8.096280313316e-12       1.168452427776e-12      -6.563610248081e-15 
  110       4.057954772890e-10       1.227000973898e-13      -3.998001424768e-12       0.000000000000e+00       7.900760448484e-12       1.146563010796e-12      -6.513058171154e-15 
  111       4.102419873852e-10       1.243882030918e-13      -4.084435357265e-12       0.000000000000e+00       7.711613954380e-12       1.125326534116e-12      -6.464296398690e-15 
  112       4.147091034359e-10       1.260367464669e-13      -4.170194185872e-12       0.000000000000e+00       7.528560989456e-12       1.104707356011e-12      -6.416506852323e-15 
