# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.078847487513e-10       2.287793647404e-14      -1.019341914770e-13       1.274079202720e-16       4.139774540277e-11       4.603886319711e-12      -9.351552869702e-15 
   57       2.107653484417e-10       2.415588703271e-14      -1.378151388760e-13       1.320197716616e-16       3.978386760062e-11       4.440542271948e-12      -9.742240284999e-15 
   58       2.136768755053e-10       2.547309166670e-14      -1.755287708861e-13       1.367137029686e-16       3.825734663015e-11       4.286146382596e-12      -1.015495572829e-14 
   59       2.166179238353e-10       2.682957848048e-14      -2.150704712687e-13       1.414896063583e-16       3.681163195117e-11       4.140076931532e-12      -1.054940706072e-14 
   60       2.195857052386e-10       2.822534406436e-14      -2.564322574430e-13       1.463473660026e-16       3.543711670765e-11       4.001402790088e-12      -1.087969661344e-14 
   61       2.225773283217e-10       2.966025125509e-14      -2.996036907357e-13       1.512868734452e-16       3.412380685016e-11       3.869140029419e-12      -1.110483854751e-14 
   62       2.255941734422e-10       3.113369611728e-14      -3.445750000208e-13       1.563080778008e-16       3.287040873064e-11       3.743127825694e-12      -1.122360200499e-14 
   63       2.286383451193e-10       3.264486546673e-14      -3.913345415029e-13       1.614109468207e-16       3.167699242967e-11       3.623319642905e-12      -1.124710684640e-14 
   64       2.317113448118e-10       3.419282888882e-14      -4.398678458504e-13       1.665954529396e-16       3.054225813953e-11       3.509518549068e-12      -1.118886481309e-14 
   65       2.348140246758e-10       3.577653527327e-14      -4.901575811061e-13       1.718615737333e-16       2.946345815653e-11       3.401368763236e-12      -1.106488535757e-14 
   66       2.379465413235e-10       3.739480934894e-14      -5.421835155984e-13       1.772092923765e-16       2.843631887326e-11       3.298347202503e-12      -1.089378147392e-14 
   67       2.411083095814e-10       3.904634821861e-14      -5.959224808524e-13       1.826385981010e-16       2.745496277092e-11       3.199755029012e-12      -1.069687552822e-14 
   68       2.442985986396e-10       4.072985769373e-14      -6.513499747339e-13       1.881494949569e-16       2.651347883260e-11       3.104901045950e-12      -1.049412693358e-14 
   69       2.475185641346e-10       4.244450112310e-14      -7.084454309984e-13       1.937420291332e-16       2.561117766251e-11       3.013713932440e-12      -1.029072041934e-14 
   70       2.507695466413e-10       4.418953570153e-14      -7.671879557690e-13       1.994162680208e-16       2.474826594829e-11       2.926239448220e-12      -1.008793782423e-14 
   71       2.540524364358e-10       4.596418082480e-14      -8.275547865508e-13       2.051722930581e-16       2.392425704940e-11       2.842456078198e-12      -9.887094792982e-15 
   72       2.573676436833e-10       4.776761819991e-14      -8.895212970917e-13       2.110102004005e-16       2.313793514849e-11       2.762271486079e-12      -9.689539748517e-15 
   73       2.607150686257e-10       4.959899195533e-14      -9.530610022430e-13       2.169301015915e-16       2.238731940278e-11       2.685518967999e-12      -9.496652864143e-15 
   74       2.640940717691e-10       5.145740875121e-14      -1.018145562820e-12       2.229321242321e-16       2.166962809547e-11       2.611953906158e-12      -9.309845035760e-15 
   75       2.675034440723e-10       5.334193788961e-14      -1.084744790462e-12       2.290164126519e-16       2.098124278712e-11       2.541250222448e-12      -9.130556854069e-15 
   76       2.709419995449e-10       5.525155213819e-14      -1.152826283684e-12       2.351831215643e-16       2.031860682398e-11       2.473083638364e-12      -8.960160131941e-15 
   77       2.744105437045e-10       5.718493749949e-14      -1.222354248647e-12       2.414323942178e-16       1.968118926685e-11       2.407406822457e-12      -8.799644027441e-15 
   78       2.779102115823e-10       5.914064879123e-14      -1.293290471186e-12       2.477643814594e-16       1.906899883038e-11       2.344218207421e-12      -8.649869550604e-15 
   79       2.814418603829e-10       6.111716476785e-14      -1.365594663876e-12       2.541792489144e-16       1.848168105592e-11       2.283477897233e-12      -8.511658953508e-15 
   80       2.850060524350e-10       6.311288701497e-14      -1.439224463339e-12       2.606771775124e-16       1.791850162274e-11       2.225105900816e-12      -8.385792704300e-15 
   81       2.886030381424e-10       6.512613884396e-14      -1.514135427537e-12       2.672583640136e-16       1.737832965909e-11       2.168980365707e-12      -8.273006461203e-15 
   82       2.922327389348e-10       6.715516418642e-14      -1.590281033069e-12       2.739230215357e-16       1.685962105337e-11       2.114935811715e-12      -8.173988046544e-15 
   83       2.958947302182e-10       6.919812648867e-14      -1.667612672476e-12       2.806713800801e-16       1.636040176527e-11       2.062761364594e-12      -8.089374420763e-15 
   84       2.995885224605e-10       7.125317598229e-14      -1.746080192293e-12       2.875036833501e-16       1.587874772090e-11       2.012253217150e-12      -8.019391054093e-15 
   85       3.033144953314e-10       7.331866673054e-14      -1.825633615651e-12       2.944201774466e-16       1.541435246341e-11       1.963385874282e-12      -7.962707978812e-15 
   86       3.070730878845e-10       7.539297370407e-14      -1.906221701623e-12       3.014211212549e-16       1.496718999571e-11       1.916166190251e-12      -7.917387664957e-15 
