# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   53       2.037533506010e-10       1.971839711987e-14      -1.724011985707e-14       0.000000000000e+00       4.528952871858e-11       5.381872217548e-12      -9.205561684798e-15 
   54       2.066505005207e-10       2.090784456931e-14      -4.874661440927e-14       0.000000000000e+00       4.345472516848e-11       5.183025043145e-12      -9.479126437374e-15 
   55       2.095761876707e-10       2.213784614947e-14      -8.215443703218e-14       0.000000000000e+00       4.171132885324e-11       4.993576257450e-12      -9.770192440383e-15 
   56       2.125319461120e-10       2.340838048269e-14      -1.174654162167e-13       0.000000000000e+00       4.005728066885e-11       4.813360619136e-12      -1.006841678825e-14 
   57       2.155190479276e-10       2.471937054795e-14      -1.546697254687e-13       0.000000000000e+00       3.849165884613e-11       4.642391450856e-12      -1.036135991048e-14 
   58       2.185375886544e-10       2.607067931981e-14      -1.937523460540e-13       0.000000000000e+00       3.701090118649e-11       4.480410610927e-12      -1.063479477400e-14 
   59       2.215863985277e-10       2.746210826512e-14      -2.346929125537e-13       0.000000000000e+00       3.560864200086e-11       4.326871366761e-12      -1.087262900453e-14 
   60       2.246629537245e-10       2.889339583963e-14      -2.774655584188e-13       0.000000000000e+00       3.427554904869e-11       4.180921268286e-12      -1.105682700791e-14 
   61       2.277645870783e-10       3.036417886713e-14      -3.220447253416e-13       0.000000000000e+00       3.300191452316e-11       4.041647442986e-12      -1.117167236108e-14 
   62       2.308926385785e-10       3.187386994753e-14      -3.684244645372e-13       0.000000000000e+00       3.178647650152e-11       3.908915566044e-12      -1.121784917353e-14 
   63       2.340490832355e-10       3.342174973882e-14      -4.166032134927e-13       0.000000000000e+00       3.062929722057e-11       3.782689671666e-12      -1.120139762587e-14 
   64       2.372352672358e-10       3.500699901850e-14      -4.665782485429e-13       0.000000000000e+00       2.952910957720e-11       3.662777722990e-12      -1.112971125724e-14 
   65       2.404518604166e-10       3.662869600257e-14      -5.183457196522e-13       0.000000000000e+00       2.848324145120e-11       3.548822811947e-12      -1.101159680008e-14 
   66       2.436988087413e-10       3.828581366449e-14      -5.719006851973e-13       0.000000000000e+00       2.748754002805e-11       3.440294359132e-12      -1.085733401503e-14 
   67       2.469752867748e-10       3.997721705415e-14      -6.272371467495e-13       0.000000000000e+00       2.653629612169e-11       3.336479313667e-12      -1.067873552572e-14 
   68       2.502803672683e-10       4.170175383046e-14      -6.843454416331e-13       0.000000000000e+00       2.562376840200e-11       3.236669438767e-12      -1.048718345229e-14 
   69       2.536152936959e-10       4.345855315394e-14      -7.432037293343e-13       0.000000000000e+00       2.474928387988e-11       3.140786906526e-12      -1.028714359511e-14 
   70       2.569815849340e-10       4.524678281954e-14      -8.037848345730e-13       0.000000000000e+00       2.391303971343e-11       3.048870238589e-12      -1.008143850553e-14 
   71       2.603803302328e-10       4.706556110994e-14      -8.660587046878e-13       0.000000000000e+00       2.311456061044e-11       2.960885718998e-12      -9.873162353158e-15 
   72       2.638121600322e-10       4.891395649847e-14      -9.299923768416e-13       0.000000000000e+00       2.235266406946e-11       2.876723609037e-12      -9.665689016365e-15 
   73       2.672772167772e-10       5.079098735201e-14      -9.955499452287e-13       0.000000000000e+00       2.162542562090e-11       2.796194362078e-12      -9.462680172847e-15 
   74       2.707751257337e-10       5.269562163400e-14      -1.062692528280e-12       0.000000000000e+00       2.093014406802e-11       2.719024838424e-12      -9.268093390166e-15 
   75       2.743049658040e-10       5.462677660733e-14      -1.131378235872e-12       0.000000000000e+00       2.026330672808e-11       2.644854520159e-12      -9.086190216302e-15 
   76       2.778657884854e-10       5.658328669556e-14      -1.201564119741e-12       0.000000000000e+00       1.962146101527e-11       2.573327589908e-12      -8.920695132087e-15 
   77       2.814583485131e-10       5.856380095721e-14      -1.273212507845e-12       0.000000000000e+00       1.900408951638e-11       2.504396919325e-12      -8.772077461498e-15 
   78       2.850836372524e-10       6.056686628887e-14      -1.346285770892e-12       0.000000000000e+00       1.841119848495e-11       2.438068895058e-12      -8.639786200664e-15 
   79       2.887423448993e-10       6.259095667366e-14      -1.420744449349e-12       0.000000000000e+00       1.784244209857e-11       2.374310682622e-12      -8.523046013395e-15 
   80       2.924348425360e-10       6.463447223124e-14      -1.496547261312e-12       0.000000000000e+00       1.729710628528e-11       2.313048407008e-12      -8.420847909462e-15 
   81       2.961611641868e-10       6.669573826786e-14      -1.573651110385e-12       0.000000000000e+00       1.677409254989e-11       2.254165333304e-12      -8.331939922885e-15 
   82       2.999209888738e-10       6.877300432626e-14      -1.652011093552e-12       0.000000000000e+00       1.627190180030e-11       2.197500047297e-12      -8.254817790208e-15 
   83       3.037136226725e-10       7.086444323579e-14      -1.731580509049e-12       0.000000000000e+00       1.578861817387e-11       2.142844636091e-12      -8.187715628788e-15 
   84       3.075383382775e-10       7.296820621398e-14      -1.812310819657e-12       0.000000000000e+00       1.532237435538e-11       2.089996122483e-12      -8.128824345543e-15 
   85       3.113954976834e-10       7.508260074816e-14      -1.894151518348e-12       0.000000000000e+00       1.487287159095e-11       2.038924550421e-12      -8.077008883866e-15 
   86       3.152855835865e-10       7.720594059821e-14      -1.977050254697e-12       0.000000000000e+00       1.444008317826e-11       1.989629558356e-12      -8.031193342996e-15 
   87       3.192088466621e-10       7.933649235896e-14      -2.060952884504e-12       0.000000000000e+00       1.402378741707e-11       1.942088692254e-12      -7.990138406172e-15 
   88       3.231652936300e-10       8.147247545220e-14      -2.145803476918e-12       0.000000000000e+00       1.362355952789e-11       1.896256481231e-12      -7.952435846317e-15 
   89       3.271546753176e-10       8.361206211880e-14      -2.231544321563e-12       0.000000000000e+00       1.323876357061e-11       1.852063513187e-12      -7.916503031730e-15 
   90       3.311764747254e-10       8.575337741066e-14      -2.318115935658e-12       0.000000000000e+00       1.286854436311e-11       1.809415510436e-12      -7.880577431763e-15 
   91       3.352298950902e-10       8.789449918283e-14      -2.405457071147e-12       0.000000000000e+00       1.251181939995e-11       1.768192405347e-12      -7.842711122510e-15 
   92       3.393138479503e-10       9.003345808552e-14      -2.493504721820e-12       0.000000000000e+00       1.216727077096e-11       1.728247415969e-12      -7.800765292497e-15 
   93       3.434272912772e-10       9.216827090314e-14      -2.582194816234e-12       0.000000000000e+00       1.183365764732e-11       1.689443263695e-12      -7.752902085829e-15 
   94       3.475703279717e-10       9.429704632444e-14      -2.671464400213e-12       0.000000000000e+00       1.151082505372e-11       1.651769064994e-12      -7.699156683732e-15 
   95       3.517432512825e-10       9.641789513949e-14      -2.761249797296e-12       0.000000000000e+00       1.119883257997e-11       1.615239392945e-12      -7.640092605925e-15 
   96       3.559462024245e-10       9.852889875394e-14      -2.851485968506e-12       0.000000000000e+00       1.089764370036e-11       1.579858292700e-12      -7.576326755224e-15 
   97       3.601791634485e-10       1.006281096387e-13      -2.942106528887e-12       0.000000000000e+00       1.060712209269e-11       1.545618866966e-12      -7.508530750093e-15 
   98       3.644419501101e-10       1.027135517800e-13      -3.033043764043e-12       0.000000000000e+00       1.032702795733e-11       1.512502861474e-12      -7.437432257203e-15 
   99       3.687342047404e-10       1.047832211288e-13      -3.124228646676e-12       0.000000000000e+00       1.005701433616e-11       1.480480250461e-12      -7.363816323983e-15 
  100       3.730553891146e-10       1.068350860508e-13      -3.215590853124e-12       0.000000000000e+00       9.796623431628e-12       1.449508822142e-12      -7.288526711180e-15 
  101       3.774047773222e-10       1.088670877763e-13      -3.307058779902e-12       0.000000000000e+00       9.545282925770e-12       1.419533764191e-12      -7.212467225413e-15 
  102       3.817814486368e-10       1.108771408499e-13      -3.398559560236e-12       0.000000000000e+00       9.302302299195e-12       1.390487249210e-12      -7.136603051725e-15 
  103       3.861842803849e-10       1.128631335802e-13      -3.490019080604e-12       0.000000000000e+00       9.066869150112e-12       1.362288020212e-12      -7.061962086144e-15 
  104       3.906121789616e-10       1.148229807441e-13      -3.581362795304e-12       0.000000000000e+00       8.838233233759e-12       1.334860202629e-12      -6.989430937886e-15 
  105       3.950648237726e-10       1.167547888385e-13      -3.672518259854e-12       0.000000000000e+00       8.616294822706e-12       1.308193527322e-12      -6.919108681605e-15 
  106       3.995420109623e-10       1.186567140940e-13      -3.763412972244e-12       0.000000000000e+00       8.401089333036e-12       1.282290507904e-12      -6.850867884353e-15 
  107       4.040434197841e-10       1.205269132258e-13      -3.853973630467e-12       0.000000000000e+00       8.192605102680e-12       1.257147739880e-12      -6.784551227610e-15 
  108       4.085686080865e-10       1.223635444577e-13      -3.944126157827e-12       0.000000000000e+00       7.990781773294e-12       1.232755697403e-12      -6.719970583454e-15 
  109       4.131170078005e-10       1.241647685460e-13      -4.033795728247e-12       0.000000000000e+00       7.795508672133e-12       1.209098530027e-12      -6.656906090745e-15 
  110       4.176879204251e-10       1.259287498037e-13      -4.122906791578e-12       0.000000000000e+00       7.606623193925e-12       1.186153859470e-12      -6.595105231297e-15 
  111       4.222805125151e-10       1.276536571244e-13      -4.211383098903e-12       0.000000000000e+00       7.423909182746e-12       1.163892576368e-12      -6.534281906061e-15 
  112       4.268938111668e-10       1.293376650063e-13      -4.299147727850e-12       0.000000000000e+00       7.247095313898e-12       1.142278637030e-12      -6.474115511301e-15 
  113       4.315266995048e-10       1.309789545763e-13      -4.386123107897e-12       0.000000000000e+00       7.075853475780e-12       1.121268860198e-12      -6.414250014772e-15 
  114       4.361779121691e-10       1.325757146140e-13      -4.472231045680e-12       0.000000000000e+00       6.909797151763e-12       1.100812723800e-12      -6.354293031896e-15 
  115       4.408460308011e-10       1.341261425755e-13      -4.557392750301e-12       0.000000000000e+00       6.748479802071e-12       1.080852161709e-12      -6.293814901943e-15 
  116       4.455296839380e-10       1.356284947645e-13      -4.641529711296e-12       0.000000000000e+00       6.591492686481e-12       1.061334397071e-12      -6.232430377895e-15 
  117       4.502281839163e-10       1.370812415742e-13      -4.724566399536e-12       0.000000000000e+00       6.438775284686e-12       1.042252646905e-12      -6.170056938678e-15 
  118       4.549409592887e-10       1.384829331304e-13      -4.806427943756e-12       0.000000000000e+00       6.290339754276e-12       1.023610007792e-12      -6.106686294215e-15 
  119       4.596673546686e-10       1.398321532765e-13      -4.887039339770e-12       0.000000000000e+00       6.146174136041e-12       1.005406775098e-12      -6.042304390588e-15 
  120       4.644066280240e-10       1.411275210324e-13      -4.966325483315e-12       0.000000000000e+00       6.006241615078e-12       9.876403549967e-13      -5.976891216666e-15 
  121       4.691579479717e-10       1.423676920523e-13      -5.044211202899e-12       0.000000000000e+00       5.870479781891e-12       9.703051764931e-13      -5.910420610729e-15 
  122       4.739203910707e-10       1.435513600840e-13      -5.120621292648e-12       0.000000000000e+00       5.738799893500e-12       9.533926034459e-13      -5.842860067094e-15 
  123       4.786929391165e-10       1.446772584269e-13      -5.195480545153e-12       0.000000000000e+00       5.611086134542e-12       9.368908465896e-13      -5.774170542744e-15 
  124       4.834744764349e-10       1.457441613909e-13      -5.268713784315e-12       0.000000000000e+00       5.487194878375e-12       9.207848755576e-13      -5.704306263952e-15 
  125       4.882637871759e-10       1.467508857551e-13      -5.340245898194e-12       0.000000000000e+00       5.366953948186e-12       9.050563309044e-13      -5.633214532904e-15 
  126       4.930595526078e-10       1.476962922257e-13      -5.410001871856e-12       0.000000000000e+00       5.250161878089e-12       8.896834361283e-13      -5.560835534332e-15 
  127       4.978603484109e-10       1.485792868953e-13      -5.477906820217e-12       0.000000000000e+00       5.136587174237e-12       8.746409096943e-13      -5.487102142134e-15 
  128       5.026646419713e-10       1.493988227009e-13      -5.543886020894e-12       0.000000000000e+00       5.025967575919e-12       8.598998770560e-13      -5.411939726004e-15 
  129       5.074709432789e-10       1.501539426830e-13      -5.607865745567e-12       0.000000000000e+00       4.918066377643e-12       8.454350614260e-13      -5.335316938957e-15 
  130       5.122782820831e-10       1.508439120289e-13      -5.669775787433e-12       0.000000000000e+00       4.812849950481e-12       8.312474348298e-13      -5.257404789880e-15 
  131       5.170857782112e-10       1.514681033383e-13      -5.729547274382e-12       0.000000000000e+00       4.710328389327e-12       8.173438972083e-13      -5.178434737228e-15 
  132       5.218924910657e-10       1.520259578621e-13      -5.787111933513e-12       0.000000000000e+00       4.610499870251e-12       8.037301848702e-13      -5.098649442117e-15 
  133       5.266974180176e-10       1.525169872601e-13      -5.842402129696e-12       0.000000000000e+00       4.513350319913e-12       7.904108345989e-13      -5.018302939744e-15 
  134       5.314994927991e-10       1.529407753585e-13      -5.895350904131e-12       0.000000000000e+00       4.418853084971e-12       7.773891477590e-13      -4.937660810820e-15 
  135       5.362975838968e-10       1.532969799076e-13      -5.945892012911e-12       0.000000000000e+00       4.326968601495e-12       7.646671544031e-13      -4.857000352993e-15 
  136       5.410904929450e-10       1.535853343395e-13      -5.993959965581e-12       0.000000000000e+00       4.237644064379e-12       7.522455773783e-13      -4.776610752276e-15 
  137       5.458769531182e-10       1.538056495260e-13      -6.039490063697e-12       0.000000000000e+00       4.150813096753e-12       7.401237964327e-13      -4.696793254474e-15 
  138       5.506556275247e-10       1.539578155357e-13      -6.082418439392e-12       0.000000000000e+00       4.066395419392e-12       7.282998123224e-13      -4.617861336611e-15 
  139       5.554251075994e-10       1.540418033922e-13      -6.122682093933e-12       0.000000000000e+00       3.984296520132e-12       7.167702109177e-13      -4.540140878354e-15 
  140       5.601839114967e-10       1.540576668316e-13      -6.160218936280e-12       0.000000000000e+00       3.904407323279e-12       7.055301273100e-13      -4.463970333445e-15 
  141       5.649304824839e-10       1.540055440600e-13      -6.194967821652e-12       0.000000000000e+00       3.826603859021e-12       6.945732099186e-13      -4.389700901123e-15 
  142       5.696631873340e-10       1.538856595114e-13      -6.226868590085e-12       0.000000000000e+00       3.750746932840e-12       6.838915845969e-13      -4.317696697553e-15 
  143       5.743803147188e-10       1.536983256052e-13      -6.255862104990e-12       0.000000000000e+00       3.676681794924e-12       6.734758187393e-13      -4.248334927253e-15 
  144       5.790802124884e-10       1.534439572513e-13      -6.281890840978e-12       0.000000000000e+00       3.604270558189e-12       6.633166547548e-13      -4.181916377543e-15 
  145       5.837617181549e-10       1.531231132666e-13      -6.304900631224e-12       0.000000000000e+00       3.533493752254e-12       6.534104788716e-13      -4.118386594929e-15 
  146       5.884237679915e-10       1.527364624019e-13      -6.324839166469e-12       0.000000000000e+00       3.464358199502e-12       6.437543257618e-13      -4.057587418351e-15 
  147       5.930652611552e-10       1.522847727757e-13      -6.341655502584e-12       0.000000000000e+00       3.396865024368e-12       6.343441320901e-13      -3.999343846945e-15 
  148       5.976850588784e-10       1.517689137053e-13      -6.355300102280e-12       0.000000000000e+00       3.331009510960e-12       6.251747107897e-13      -3.943463696082e-15 
  149       6.022819836597e-10       1.511898575378e-13      -6.365724876833e-12       0.000000000000e+00       3.266780960680e-12       6.162397253372e-13      -3.889737253413e-15 
  150       6.068548184557e-10       1.505486814807e-13      -6.372883227796e-12       0.000000000000e+00       3.204162549849e-12       6.075316640283e-13      -3.837936934908e-15 
  151       6.114023058716e-10       1.498465694330e-13      -6.376730088716e-12       0.000000000000e+00       3.143131187326e-12       5.990418142530e-13      -3.787816940901e-15 
  152       6.159231473530e-10       1.490848138165e-13      -6.377221966858e-12       0.000000000000e+00       3.083657372131e-12       5.907602367715e-13      -3.739112912129e-15 
  153       6.204160023768e-10       1.482648174059e-13      -6.374316984913e-12       0.000000000000e+00       3.025705051070e-12       5.826757399890e-13      -3.691541585776e-15 
  154       6.248794876427e-10       1.473880951606e-13      -6.367974922724e-12       0.000000000000e+00       2.969231476352e-12       5.747758542313e-13      -3.644800451513e-15 
