#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       9.688566183077e-02       2.159437836670e-07      -1.206790697430e+00       2.912349342257e-02       1.070170315120e-09       2.675425787800e-09       5.530029268995e-17       5.350851575599e-10      -9.050930230727e-01       2.912349342258e-02       6.073041427734e-01       6.987695779445e-01      -1.206790414461e+00       2.911144214893e-02       3.737063879837e-04      -1.206790534956e+00       2.911897315251e-02      -9.050929012167e-01       2.911897315428e-02      -9.050934680004e-01       2.914874625725e-02 
       9.897114510829e-02       2.205929406169e-07      -1.207389861413e+00       2.976061606589e-02       1.141177241676e-09       2.852943104191e-09       6.153602496528e-17       5.705886208382e-10      -9.055423960597e-01       2.976061606590e-02       6.071521531152e-01       6.986402539556e-01      -1.207389543834e+00       2.974776826439e-02       3.900676167347e-04      -1.207389686373e+00       2.975609868612e-02      -9.055422647798e-01       2.975609868795e-02      -9.055428953763e-01       2.978753445237e-02 
       1.015432017508e-01       2.263268619072e-07      -1.208077808679e+00       3.054555236595e-02       1.232957437376e-09       3.082393593440e-09       6.998635976177e-17       6.164787186881e-10      -9.060583565095e-01       3.054555236596e-02       6.069785510944e-01       6.984941190170e-01      -1.208077445289e+00       3.053167461401e-02       4.107326267736e-04      -1.208077618154e+00       3.054103865093e-02      -9.060582136153e-01       3.054103865279e-02      -9.060589278068e-01       3.057462372999e-02 
       1.041152583934e-01       2.320608367355e-07      -1.208716453202e+00       3.132963567405e-02       1.329495536148e-09       3.323738840370e-09       7.933844929180e-17       6.647477680739e-10      -9.065373399015e-01       3.132963567406e-02       6.068186430047e-01       6.983609823614e-01      -1.208716040377e+00       3.131467412628e-02       4.319342909562e-04      -1.208716247204e+00       3.132512590404e-02      -9.065371854028e-01       3.132512590652e-02      -9.065379888602e-01       3.136097181730e-02 
       1.066873150360e-01       2.377948654360e-07      -1.209312363866e+00       3.211293486813e-02       1.430911284932e-09       3.577278212329e-09       8.966248499499e-17       7.154556424658e-10      -9.069842728994e-01       3.211293486815e-02       6.066709153273e-01       6.982392010641e-01      -1.209311897794e+00       3.209683430031e-02       4.536719730406e-04      -1.209312142409e+00       3.210842947204e-02      -9.069841068068e-01       3.210842947481e-02      -9.069850054916e-01       3.214665041862e-02 
       1.092593716785e-01       2.435289481138e-07      -1.209870749373e+00       3.289549851850e-02       1.537323817895e-09       3.843309544736e-09       1.010321646830e-16       7.686619089473e-10      -9.074030620297e-01       3.289549851853e-02       6.065341571481e-01       6.981274722992e-01      -1.209870226052e+00       3.287820232923e-02       4.759450773840e-04      -1.209870512473e+00       3.289099772271e-02      -9.074028843548e-01       3.289099772514e-02      -9.074038845258e-01       3.293171093015e-02 
       1.118314283211e-01       2.492630845400e-07      -1.210396391840e+00       3.367737658717e-02       1.648852526397e-09       4.122131315993e-09       1.135248300666e-16       8.244262631986e-10      -9.077972938799e-01       3.367737658720e-02       6.064072346068e-01       6.980245999307e-01      -1.210395807071e+00       3.365882679943e-02       4.987530414473e-04      -1.210396139513e+00       3.367288067986e-02      -9.077971046350e-01       3.367288068335e-02      -9.077982128560e-01       3.371620613930e-02 
       1.144034849636e-01       2.549972747109e-07      -1.210894078073e+00       3.445863152333e-02       1.765617675268e-09       4.414044188171e-09       1.272216026518e-16       8.828088376342e-10      -9.081705585544e-01       3.445863152336e-02       6.062889911811e-01       6.979293866947e-01      -1.210893427454e+00       3.443876878600e-02       5.220953361165e-04      -1.210893810338e+00       3.445414145526e-02      -9.081703577532e-01       3.445414146120e-02      -9.081715808997e-01       3.450020132021e-02 
       1.169755416062e-01       2.607315186741e-07      -1.211366888807e+00       3.523928821831e-02       1.887737891469e-09       4.719344728672e-09       1.422072959134e-16       9.438689457344e-10      -9.085251666055e-01       3.523928821834e-02       6.061786794150e-01       6.978410618835e-01      -1.211366167734e+00       3.521805180756e-02       5.459714618065e-04      -1.211366605685e+00       3.523480452800e-02      -9.085249542635e-01       3.523480453225e-02      -9.085262995294e-01       3.528372418865e-02 
       1.195475982488e-01       2.664658164587e-07      -1.211817440612e+00       3.601936561379e-02       2.015331516751e-09       5.038328791877e-09       1.585705820186e-16       1.007665758375e-09      -9.088630804587e-01       3.601936561383e-02       6.060756555776e-01       6.977589708550e-01      -1.211816644266e+00       3.599669343443e-02       5.703809354125e-04      -1.211817142123e+00       3.601488828098e-02      -9.088628565925e-01       3.601488828573e-02      -9.088643314980e-01       3.606679651026e-02 
