# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_idr            15:(.)rho_idm_dr         16:(.)rho_crit           17:(.)rho_g_twin         18:(.)rho_ur_twin        19:(.)rho_b_twin         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       7.979346461238e+13       1.159831963051e-25       5.675246939063e-09       1.406050152974e+22       1.382630059168e+04       1.732761029847e-10       1.103248426982e+18       3.276467642836e-09       1.115445515164e+44       1.265246007567e+33       6.789388943914e+33       4.199750174474e-08       7.711238537489e+43       9.040766368291e+42       7.635677620624e+31       1.976977032678e+44       9.040766368291e+42       0.000000000000e+00       7.635677620624e+31       1.976977032678e+44       6.589923441987e+43      -4.432461835719e+52       8.408764903226e-06       1.377925610978e+00 
       7.894035946874e+13       1.185035930607e-25       5.737092578784e-09       1.376145538574e+22       1.382630059168e+04       1.751486905396e-10       1.091453138830e+18       3.311876290798e-09       1.068502323054e+44       1.225096523241e+33       6.573944308360e+33       4.199750174474e-08       7.386713361536e+43       8.660288405072e+42       7.393378102857e+31       1.893776543337e+44       8.660288405072e+42       0.000000000000e+00       7.393378102857e+31       1.893776543337e+44       6.312588477528e+43      -4.200528070024e+52       8.533309600485e-06       1.357814618182e+00 
       7.809637522728e+13       1.210787598151e-25       5.798938218504e-09       1.346876951246e+22       1.382630059168e+04       1.770415150695e-10       1.079783959013e+18       3.347667598529e-09       1.023534721195e+44       1.186221084502e+33       6.365336280839e+33       4.199750174474e-08       7.075845730907e+43       8.295822743688e+42       7.158767366760e+31       1.814077521799e+44       8.295822743688e+42       0.000000000000e+00       7.158767366760e+31       1.814077521799e+44       6.046925072408e+43      -3.980730510723e+52       8.657854297747e-06       1.338282225443e+00 
       7.726141437266e+13       1.237098867704e-25       5.860783858225e-09       1.318230863632e+22       1.382630059168e+04       1.789547952745e-10       1.068239539255e+18       3.383845701422e-09       9.804595674597e+43       1.148579262631e+33       6.163347918333e+33       4.199750174474e-08       6.778060871876e+43       7.946695511184e+42       6.931601427676e+31       1.737732609833e+44       7.946695511184e+42       0.000000000000e+00       6.931601427676e+31       1.737732609833e+44       5.792442032531e+43      -3.772434116576e+52       8.782398995011e-06       1.319303817088e+00 
       7.643538043208e+13       1.263981899598e-25       5.924448487349e-09       1.290194036081e+22       1.382630059168e+04       1.808887522181e-10       1.056818545693e+18       3.420414779541e-09       9.391972187335e+43       1.112131911819e+33       5.967769161979e+33       4.199750174474e-08       6.492808199900e+43       7.612261194347e+42       6.711644043205e+31       1.664600650739e+44       7.612261194347e+42       0.000000000000e+00       6.711644043205e+31       1.664600650739e+44       5.548668835557e+43      -3.575037075625e+52       8.906943692277e-06       1.300856154230e+00 
       7.561817796419e+13       1.291449118741e-25       5.988113116473e-09       1.262753510528e+22       1.382630059168e+04       1.828436093531e-10       1.045519658728e+18       3.457379058147e-09       8.996713836576e+43       1.076841128449e+33       5.778396618619e+33       4.199750174474e-08       6.219560301621e+43       7.291901446198e+42       6.498666467520e+31       1.594546428351e+44       7.291901446198e+42       0.000000000000e+00       6.498666467520e+31       1.594546428351e+44       5.315154760939e+43      -3.387969066426e+52       9.031488389544e-06       1.282917279847e+00 
       7.480971254804e+13       1.319513220242e-25       6.053596735001e-09       1.235896604509e+22       1.382630059168e+04       1.848195925469e-10       1.034341572866e+18       3.494742808165e-09       8.618089815724e+43       1.042670211687e+33       5.595033349278e+33       4.199750174474e-08       5.957811959714e+43       6.985023942702e+42       6.292447213483e+31       1.527440417038e+44       6.985023942702e+42       0.000000000000e+00       6.292447213483e+31       1.527440417038e+44       5.091468056569e+43      -3.210689610275e+52       9.156033086813e-06       1.265466431599e+00 
       7.400989077217e+13       1.348187174543e-25       6.119080353528e-09       1.209610905298e+22       1.382630059168e+04       1.868169301079e-10       1.023282996573e+18       3.532510346661e-09       8.255400073962e+43       1.009583625307e+33       5.417488664359e+33       4.199750174474e-08       5.707079218778e+43       6.691061287609e+42       6.092771822308e+31       1.463158542215e+44       6.691061287609e+42       0.000000000000e+00       6.092771822308e+31       1.463158542215e+44       4.877195140500e+43      -3.042686509651e+52       9.280577784085e-06       1.248483961651e+00 
       7.321862022383e+13       1.377484234361e-25       6.184563972056e-09       1.183884264166e+22       1.382630059168e+04       1.888358528119e-10       1.012342652122e+18       3.570686037368e-09       7.907974021903e+43       9.775469607398e+32       5.245577925329e+33       4.199750174474e-08       5.466898490527e+43       6.409469963369e+42       5.899432640533e+31       1.401581950939e+44       6.409469963369e+42       0.000000000000e+00       5.899432640533e+31       1.401581950939e+44       4.671939836256e+43      -2.883474368366e+52       9.405122481360e-06       1.231951262899e+00 
       7.243580947828e+13       1.407417940258e-25       6.251866579987e-09       1.158704790773e+22       1.382630059168e+04       1.908765939286e-10       1.001519275448e+18       3.609274291171e-09       7.575169291715e+43       9.465269012863e+32       5.079122352710e+33       4.199750174474e-08       5.236825696652e+43       6.139729326205e+42       5.712228604071e+31       1.342596792160e+44       6.139729326205e+42       0.000000000000e+00       5.712228604071e+31       1.342596792160e+44       4.475322640329e+43      -2.732593189161e+52       9.529667178636e-06       1.215850700955e+00 
