#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.103011917116e+00       1.603423075042e-05      -1.202758328187e+00       2.104920210170e-04       4.246934093227e-08       1.061733523307e-07       1.205517399950e-13       2.123467046613e-08      -9.020687461405e-01       2.104920210189e-04       6.108029874451e-01       6.995602632494e-01      -1.202758327312e+00       2.104435960232e-04       1.998759788385e-04      -1.202758327314e+00       2.104438800240e-04      -9.020687454861e-01       2.104439198981e-04      -9.020687474657e-01       2.105897235752e-04 
       7.104778344801e+00       1.603826929709e-05      -1.202777022766e+00       2.105468002430e-04       4.250179043935e-08       1.062544760984e-07       1.207046307043e-13       2.125089521968e-08      -9.020827670741e-01       2.105468002452e-04       6.107991260513e-01       6.995557135606e-01      -1.202777021776e+00       2.104983388845e-04       1.999751097912e-04      -1.202777021779e+00       2.104986599266e-04      -9.020827663348e-01       2.104986998440e-04      -9.020827685720e-01       2.106445752675e-04 
       7.111625491918e+00       1.605392402711e-05      -1.202849347158e+00       2.107591253895e-04       4.262772807901e-08       1.065693201975e-07       1.212987420121e-13       2.131386403950e-08      -9.021370103682e-01       2.107591253928e-04       6.107841881572e-01       6.995381132532e-01      -1.202849345725e+00       2.107105228991e-04       2.003596114746e-04      -1.202849345732e+00       2.107109876990e-04      -9.021370092995e-01       2.107110277880e-04      -9.021370125365e-01       2.108571816496e-04 
       7.118472639034e+00       1.606957914095e-05      -1.202921451108e+00       2.109714291112e-04       4.275391188350e-08       1.068847797087e-07       1.218951894601e-13       2.137695594175e-08      -9.021910883313e-01       2.109714291154e-04       6.107692970802e-01       6.995205685407e-01      -1.202921449231e+00       2.109226852136e-04       2.007445003246e-04      -1.202921449243e+00       2.109232940517e-04      -9.021910869333e-01       2.109233343408e-04      -9.021910911720e-01       2.110697671418e-04 
       7.125319786150e+00       1.608523463833e-05      -1.202993334917e+00       2.111837113408e-04       4.288034207017e-08       1.072008551754e-07       1.224939798825e-13       2.144017103508e-08      -9.022450011876e-01       2.111837113460e-04       6.107544527906e-01       6.995030793483e-01      -1.202993332594e+00       2.111348257607e-04       2.011297763010e-04      -1.202993332612e+00       2.111355789181e-04      -9.022449994603e-01       2.111356193864e-04      -9.022450047026e-01       2.112823316778e-04 
       7.132166933267e+00       1.610089051790e-05      -1.203064996267e+00       2.113959715264e-04       4.300701875114e-08       1.075175468779e-07       1.230951198089e-13       2.150350937557e-08      -9.022987472006e-01       2.113959715326e-04       6.107396558310e-01       6.994856462549e-01      -1.203064993498e+00       2.113469439882e-04       2.015154393633e-04      -1.203064993523e+00       2.113478417461e-04      -9.022987451440e-01       2.113478823891e-04      -9.022987513918e-01       2.114948747061e-04 
       7.139014080383e+00       1.611654677858e-05      -1.203136433621e+00       2.116082092579e-04       4.313394206747e-08       1.078348551687e-07       1.236986158670e-13       2.156697103374e-08      -9.023523252154e-01       2.116082092652e-04       6.107249065710e-01       6.994682696452e-01      -1.203136430402e+00       2.115590394857e-04       2.019014894698e-04      -1.203136430437e+00       2.115600821252e-04      -9.023523228296e-01       2.115601229522e-04      -9.023523300848e-01       2.117073958169e-04 
       7.161268810261e+00       1.616743568480e-05      -1.203367068982e+00       2.122978709893e-04       4.354817646601e-08       1.088704411650e-07       1.256764663945e-13       2.177408823301e-08      -9.025253017364e-01       2.122978709999e-04       6.106772990997e-01       6.994121831243e-01      -1.203367064298e+00       2.122482370156e-04       2.031589098137e-04      -1.203367064370e+00       2.122497524998e-04      -9.025252982805e-01       2.122497939259e-04      -9.025253088235e-01       2.123979823063e-04 
       7.183523540138e+00       1.621832860819e-05      -1.203595363884e+00       2.129872947434e-04       4.396502639966e-08       1.099125659991e-07       1.276795174977e-13       2.198251319983e-08      -9.026965229132e-01       2.129872947574e-04       6.106301913333e-01       6.993566868332e-01      -1.203595357721e+00       2.129371936403e-04       2.044204169655e-04      -1.203595357845e+00       2.129391849564e-04      -9.026965183875e-01       2.129392270006e-04      -9.026965322385e-01       2.130883365105e-04 
       7.205778270015e+00       1.626922557376e-05      -1.203821413457e+00       2.136764941278e-04       4.438450272051e-08       1.109612568013e-07       1.297080179908e-13       2.219225136025e-08      -9.028660600927e-01       2.136764941453e-04       6.105835635574e-01       6.993017569881e-01      -1.203821405800e+00       2.136259229575e-04       2.056860095183e-04      -1.203821405990e+00       2.136283931025e-04      -9.028660544973e-01       2.136284357535e-04      -9.028660716771e-01       2.137784720541e-04 
       7.228032999892e+00       1.632012657105e-05      -1.204045226578e+00       2.143654667444e-04       4.480661282371e-08       1.120165320593e-07       1.317622077072e-13       2.240330641185e-08      -9.030339199338e-01       2.143654667654e-04       6.105374148997e-01       6.992473913676e-01      -1.204045217413e+00       2.143144225591e-04       2.069556860922e-04      -1.204045217684e+00       2.143173745391e-04      -9.030339132690e-01       2.143174178057e-04      -9.030339337982e-01       2.144683865559e-04 
       7.250287729769e+00       1.637103158274e-05      -1.204266795471e+00       2.150542070779e-04       4.523136337277e-08       1.130784084319e-07       1.338423256855e-13       2.261568168638e-08      -9.032000966031e-01       2.150542071026e-04       6.104917480920e-01       6.991935919144e-01      -1.204266784784e+00       2.150026869201e-04       2.082294452968e-04      -1.204266785150e+00       2.150061237519e-04      -9.032000888691e-01       2.150061676513e-04      -9.032001127685e-01       2.151580745178e-04 
